Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
CHa_47_T0_B_TWS042_10_chr1	(1, 9.6214)	(2, 7.349600000000001)	(3, 7.137599999999999)	(4, 6.4764)	(5, 5.7584)	(6, 5.144)	(7, 4.6726)	(8, 4.3026)	(9, 3.9812)	(10, 3.696)	(11, 3.4398)	(12, 3.19)	(13, 2.957)	(14, 2.7337)	(15, 2.5254)
CHa_47_T0_B_TWS042_10_chr10	(1, 10.1752)	(2, 8.2843)	(3, 7.968)	(4, 7.0883)	(5, 6.1592)	(6, 5.3797)	(7, 4.7851)	(8, 4.3378)	(9, 3.9616)	(10, 3.637)	(11, 3.3531)	(12, 3.0864)	(13, 2.8368)	(14, 2.6042)	(15, 2.3872999999999998)
CHa_47_T0_B_TWS042_10_chr11	(1, 9.6608)	(2, 7.3115)	(3, 7.1)	(4, 6.4567)	(5, 5.753699999999999)	(6, 5.1523)	(7, 4.6833)	(8, 4.3151)	(9, 3.9977)	(10, 3.7109000000000005)	(11, 3.4480999999999997)	(12, 3.1976999999999998)	(13, 2.9631000000000003)	(14, 2.7390999999999996)	(15, 2.5291)
CHa_47_T0_B_TWS042_10_chr12	(1, 9.8827)	(2, 7.8999)	(3, 7.6594999999999995)	(4, 6.9234)	(5, 6.1293)	(6, 5.4353)	(7, 4.9033)	(8, 4.4672)	(9, 4.0998)	(10, 3.7691000000000003)	(11, 3.4682)	(12, 3.195)	(13, 2.9262)	(14, 2.6898)	(15, 2.4588)
CHa_47_T0_B_TWS042_10_chr13	(1, 11.017000000000001)	(2, 9.5502)	(3, 9.0533)	(4, 7.8867)	(5, 6.6707)	(6, 5.683)	(7, 4.9367)	(8, 4.3819)	(9, 3.9411)	(10, 3.5666)	(11, 3.2314000000000003)	(12, 2.9354)	(13, 2.6607)	(14, 2.4173)	(15, 2.1858)
CHa_47_T0_B_TWS042_10_chr14	(1, 10.3956)	(2, 8.645999999999999)	(3, 8.3577)	(4, 7.4791)	(5, 6.4973)	(6, 5.6712)	(7, 5.0199)	(8, 4.5094)	(9, 4.0834)	(10, 3.7174)	(11, 3.3839)	(12, 3.0823)	(13, 2.8096)	(14, 2.5512)	(15, 2.3137000000000003)
CHa_47_T0_B_TWS042_10_chr15	(1, 10.0315)	(2, 8.1476)	(3, 7.9159)	(4, 7.1622)	(5, 6.314)	(6, 5.5842)	(7, 5.0045)	(8, 4.5416)	(9, 4.1308)	(10, 3.7761000000000005)	(11, 3.4622)	(12, 3.1558999999999995)	(13, 2.8833)	(14, 2.625)	(15, 2.3907000000000003)
CHa_47_T0_B_TWS042_10_chr16	(1, 9.8132)	(2, 7.0184999999999995)	(3, 6.7955000000000005)	(4, 6.1829)	(5, 5.5147)	(6, 4.9544999999999995)	(7, 4.5194)	(8, 4.189699999999999)	(9, 3.9126000000000003)	(10, 3.6618)	(11, 3.4273)	(12, 3.2012)	(13, 2.9855)	(14, 2.7803)	(15, 2.5798)
CHa_47_T0_B_TWS042_10_chr17	(1, 9.3871)	(2, 6.5054)	(3, 6.3474)	(4, 5.8453)	(5, 5.29)	(6, 4.8136)	(7, 4.438000000000001)	(8, 4.1476)	(9, 3.8906000000000005)	(10, 3.6544)	(11, 3.4377999999999997)	(12, 3.2232)	(13, 3.0201)	(14, 2.8197)	(15, 2.6283999999999996)
CHa_47_T0_B_TWS042_10_chr18	(1, 10.8814)	(2, 9.4276)	(3, 8.9643)	(4, 7.8562)	(5, 6.669600000000001)	(6, 5.6985)	(7, 4.974399999999999)	(8, 4.4238)	(9, 3.9793000000000003)	(10, 3.5961)	(11, 3.2742)	(12, 2.9746)	(13, 2.696)	(14, 2.4544)	(15, 2.2211000000000003)
CHa_47_T0_B_TWS042_10_chr19	(1, 9.618599999999999)	(2, 6.532100000000001)	(3, 6.4309)	(4, 5.9837)	(5, 5.4517999999999995)	(6, 4.981)	(7, 4.5931)	(8, 4.2757000000000005)	(9, 3.9919999999999995)	(10, 3.7340999999999998)	(11, 3.4823)	(12, 3.2395)	(13, 3.0176000000000003)	(14, 2.7963999999999998)	(15, 2.5867)
CHa_47_T0_B_TWS042_10_chr2	(1, 10.0031)	(2, 8.1836)	(3, 7.886500000000001)	(4, 7.044599999999999)	(5, 6.1484)	(6, 5.4096)	(7, 4.8366)	(8, 4.3919)	(9, 4.0222)	(10, 3.702)	(11, 3.4081)	(12, 3.1371999999999995)	(13, 2.8822)	(14, 2.6466)	(15, 2.4185000000000003)
CHa_47_T0_B_TWS042_10_chr20	(1, 9.8161)	(2, 7.306799999999999)	(3, 7.0629)	(4, 6.3607)	(5, 5.6054)	(6, 4.9864)	(7, 4.5142)	(8, 4.1528)	(9, 3.8662)	(10, 3.6104)	(11, 3.3813999999999997)	(12, 3.1552)	(13, 2.9423)	(14, 2.7419)	(15, 2.5444)
CHa_47_T0_B_TWS042_10_chr21	(1, 10.8207)	(2, 7.978599999999999)	(3, 7.5158000000000005)	(4, 6.624)	(5, 5.7307)	(6, 4.9858)	(7, 4.4385)	(8, 4.0452)	(9, 3.7128)	(10, 3.4347000000000003)	(11, 3.1847)	(12, 2.97)	(13, 2.7505)	(14, 2.5457)	(15, 2.3581000000000003)
CHa_47_T0_B_TWS042_10_chr22	(1, 9.8676)	(2, 6.6685)	(3, 6.4331)	(4, 5.8444)	(5, 5.2218)	(6, 4.6955)	(7, 4.301)	(8, 3.9974999999999996)	(9, 3.7560999999999996)	(10, 3.5305000000000004)	(11, 3.3313)	(12, 3.1381)	(13, 2.9425)	(14, 2.759)	(15, 2.5843000000000003)
CHa_47_T0_B_TWS042_10_chr3	(1, 9.873800000000001)	(2, 8.156099999999999)	(3, 7.877000000000001)	(4, 7.0373)	(5, 6.1339999999999995)	(6, 5.395)	(7, 4.8238)	(8, 4.3906)	(9, 4.0217)	(10, 3.7074000000000003)	(11, 3.4223000000000003)	(12, 3.1571000000000002)	(13, 2.9017999999999997)	(14, 2.6706)	(15, 2.448)
CHa_47_T0_B_TWS042_10_chr4	(1, 10.7116)	(2, 9.057500000000001)	(3, 8.6022)	(4, 7.5342)	(5, 6.422700000000001)	(6, 5.526)	(7, 4.8535)	(8, 4.3391)	(9, 3.9299)	(10, 3.5892)	(11, 3.2821000000000002)	(12, 2.9982)	(13, 2.7398)	(14, 2.5009)	(15, 2.2819)
CHa_47_T0_B_TWS042_10_chr5	(1, 10.3017)	(2, 8.4913)	(3, 8.1352)	(4, 7.198599999999999)	(5, 6.2088)	(6, 5.4006)	(7, 4.7827)	(8, 4.3234)	(9, 3.9417)	(10, 3.6153999999999997)	(11, 3.3226)	(12, 3.0549)	(13, 2.8031)	(14, 2.5722)	(15, 2.3518)
CHa_47_T0_B_TWS042_10_chr6	(1, 10.0282)	(2, 8.1147)	(3, 7.800400000000001)	(4, 6.9589)	(5, 6.0516)	(6, 5.3107)	(7, 4.7465)	(8, 4.3155)	(9, 3.9549000000000003)	(10, 3.6429000000000005)	(11, 3.3639)	(12, 3.1015)	(13, 2.8582)	(14, 2.628)	(15, 2.4111000000000002)
CHa_47_T0_B_TWS042_10_chr7	(1, 10.441)	(2, 8.0283)	(3, 7.646)	(4, 6.7917000000000005)	(5, 5.9003)	(6, 5.1573)	(7, 4.599)	(8, 4.1783)	(9, 3.8376)	(10, 3.5441000000000003)	(11, 3.2764)	(12, 3.0325)	(13, 2.7992)	(14, 2.5943)	(15, 2.3864)
CHa_47_T0_B_TWS042_10_chr8	(1, 10.6067)	(2, 8.6582)	(3, 8.2349)	(4, 7.2283)	(5, 6.1858)	(6, 5.3403)	(7, 4.6977)	(8, 4.2226)	(9, 3.8432)	(10, 3.5176)	(11, 3.2341)	(12, 2.9716)	(13, 2.7265)	(14, 2.5029)	(15, 2.2934)
CHa_47_T0_B_TWS042_10_chr9	(1, 9.98)	(2, 7.7781)	(3, 7.5001)	(4, 6.7448999999999995)	(5, 5.9209)	(6, 5.2317)	(7, 4.6939)	(8, 4.2966999999999995)	(9, 3.9467000000000003)	(10, 3.6421)	(11, 3.3796)	(12, 3.1206)	(13, 2.8817)	(14, 2.6597)	(15, 2.447)
CHa_47_T0_B_TWS042_10_chrM	(1, 12.1115)	(2, 12.6245)	(3, 12.1503)	(4, 10.4368)	(5, 8.6722)	(6, 7.1267)	(7, 5.9442)	(8, 5.0852)	(9, 4.346)	(10, 3.6859)	(11, 3.1927999999999996)	(12, 2.6917)	(13, 2.1991)	(14, 1.9217000000000002)	(15, 1.5539)
CHa_47_T0_B_TWS042_10_chrX	(1, 10.3551)	(2, 7.9292)	(3, 7.4991)	(4, 6.5989)	(5, 5.6635)	(6, 4.9208)	(7, 4.3610999999999995)	(8, 3.9665)	(9, 3.6477000000000004)	(10, 3.3783)	(11, 3.143)	(12, 2.9218)	(13, 2.7199)	(14, 2.5260000000000002)	(15, 2.3431)
CHa_47_T0_B_TWS042_10_chrY	(1, 23.2862)	(2, 17.610999999999997)	(3, 15.4383)	(4, 11.5357)	(5, 8.0511)	(6, 5.369199999999999)	(7, 3.6446)	(8, 2.5829999999999997)	(9, 1.9591999999999998)	(10, 1.5221)	(11, 1.1969)	(12, 1.0217)	(13, 0.8699)	(14, 0.7705)	(15, 0.664)
CHa_47_T0_B_TWS042_10_unknown	(1, 17.3675)	(2, 15.2451)	(3, 13.2948)	(4, 10.478)	(5, 7.6933)	(6, 5.6065)	(7, 4.1575)	(8, 3.2126)	(9, 2.5562)	(10, 2.1156)	(11, 1.7995)	(12, 1.5243)	(13, 1.3211)	(14, 1.1693)	(15, 1.034)
