gene	sample	impact	mutations	dnds	pvalue	lower	upper
CREBBP--TAZ_ZnF_1	P19_0016_BTR_01	missense	1	10.178173828125018	0.09222567	0.5803461760282524	45.08723144531252
CREBBP--TAZ_ZnF_1	P19_0016_BTR_01	nonsynonymous_splice	1	9.340820312500021	0.101581514	0.5322389054298412	41.36047363281252
STAG2--exon_11_ENST00000371145_ENSE00001746768	P19_0016_BTR_01	nonsense	1	80.75000000000013	0.009181857	4.562220153808601	366.9859619140626
STAG2--exon_11_ENST00000371145_ENSE00001746768	P19_0016_BTR_01	truncating	1	80.75000000000013	0.009181857	4.562220153808601	366.9859619140626
STAG2--exon_11_ENST00000371145_ENSE00001746768	P19_0016_BTR_01	nonsynonymous_splice	1	6.690618896484388	0.14768678	0.38105488255620074	29.672186279296888
CREBBP--exon_12_ENST00000262367_ENSE00001733259	P19_0016_BTR_01	nonsense	1	54.848437500000095	0.014111459	3.097674474716192	250.4941894531251
CREBBP--exon_12_ENST00000262367_ENSE00001733259	P19_0016_BTR_01	truncating	1	54.848437500000095	0.014111459	3.097674474716192	250.4941894531251
CREBBP--exon_12_ENST00000262367_ENSE00001733259	P19_0016_BTR_01	nonsynonymous_splice	1	3.521850585937505	0.297715	0.20119694352149992	15.603149414062507
STAG2--exon_20_ENST00000371145_ENSE00004014454	P19_0016_BTR_01	nonsense	1	67.0000000000001	0.011214912	3.8079331207275446	300.5021972656251
STAG2--exon_20_ENST00000371145_ENSE00004014454	P19_0016_BTR_01	truncating	1	67.0000000000001	0.011214912	3.8079331207275446	300.5021972656251
STAG2--exon_20_ENST00000371145_ENSE00004014454	P19_0016_BTR_01	nonsynonymous_splice	1	5.586718750000009	0.18018496	0.318380565643311	24.72673339843751
NOTCH2--EGF_Ca-bind_23	P19_0016_BTR_01	missense	1	10.912548828125022	0.08537322	0.6215382307767878	48.391186523437526
NOTCH2--EGF_Ca-bind_23	P19_0016_BTR_01	nonsynonymous_splice	1	10.00932617187502	0.09399164	0.5708752900362025	44.37883300781252
CREBBP--TAZ_ZnF	P19_0016_BTR_01	nonsense	1	14.938281250000028	0.06021273	0.8482579803466812	67.19230957031253
CREBBP--TAZ_ZnF	P19_0016_BTR_01	truncating	1	13.070312500000027	0.069868326	0.7433671569824233	58.52380371093753
